date,season,location,roost,roost type,box exp,other animals in roost,time,bat.id,bag nr,genus,species,transmitter,tx mass,tx attachment,tx time on,recap,mass w bag,mass of bag,mass of bat,sex,age,FA.right,FA.left,repro state,nipple ,testes,testes size,bucchal gland,streblids,streblid counts,mites,mite counts,other parasites,parasites coll?,wingpunch (Dna/MHC),wingpunch samples,isotopes,fur samples (isotopes),feces,foto,blood smear,blood sample,vaginal smear,teeth,Team,comment,,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,000708B789,G1,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,21,m,a,51,NA,NA,NA,s,NA,NA,no,NA,yes,many,bug,bug,no,0,fur,NA,NA,yes,no,no,no,,,5th finger:53.9,,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,000708C2FF,G5,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,26.2,m,a,54.1,NA,NA,NA,s,NA,NA,no,NA,yes,medium,2 bugs,bugs,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: 56.3,,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,000708ED95,2,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,25.2,f,a,55,NA,NA,l,NA,NA,NA,no,NA,yes,medium,1,bug,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: ,57.5,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,00070B597D,B79,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,28.5,f,a,55.6,NA,NA,s,NA,NA,NA,no,NA,yes,medium,NA,no,no,0,fur,NA,NA,yes,no,no,no,,,5th finger:56.4,,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,00070B5A5A,K26,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,27.7,f,a,54.9,NA,NA,l,NA,NA,NA,no,NA,yes,many,no,no,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: 56.7,,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,00070B66C8,K36,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,28.7,f,a,54.6,NA,NA,l,NA,NA,NA,no,NA,yes,many,no,no,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: ,56.4,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,00070B6C08,G6,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,28.2,f,a,54.2,NA,NA,s,NA,NA,NA,no,NA,yes,many,no,no,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: 56.0,,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,00070B7407,K28,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,31,f,a,53,NA,NA,s,NA,NA,NA,no,NA,yes,medium,no,no,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: ,57.9,whole in right wing,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,00070B81D7,K35,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,30.8,f,a,54.6,NA,NA,s,NA,NA,NA,no,NA,yes,many,flea,flea?,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: 58.8,,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,00070B8253,G4,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,26.6,m,a,53.1,NA,NA,NA,s,NA,NA,no,NA,NA,NA,NA,no,no,0,fur,NA,NA,no,no,no,no,,,5th finger: 55.0; hairless spot on back,,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,00070B8537,K5,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,23.6,m,a,53.6,NA,NA,NA,s,NA,NA,no,NA,yes,many,no,no,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: ,53.9,,
2012-05-26,spring,Reichenau-Waldsiedlung,RW Kasten 7,flachkasten,NA,1,15:00,000708831A,NA,Nyctalus,noctula,(149.820),NA,Sauer,<0,no,NA,NA,30.5,f,a,54.8,NA,plac,l,NA,NA,NA,no,NA,yes,few,NA,mites,no,0,fur,NA,NA,yes,no,no,no,,,"5th finger: 61.3, lost tx before emergence on same day, second animal in box escaped, was warm and active (this one), Sauer runny because of hot weather",,,
2012-08-15,summer,Kreuzlingen Seeburgpark,Kr Kasten 48,rundkasten,NA,0,09:00,0007209184,NA,Nyctalus,noctula,no,NA,NA,NA,no,65,25,40,m,a,54.8,NA,scr,NA,NA,NA,l,NA,NA,NA,NA,Nycteribiid,no,no,0,fur,NA,NA,no,no,no,no,,,"testes weird, below penis, large bucchal gland",,,
2012-08-15,summer,Kreuzlingen Seeburgpark,Kr Kasten 37,rundkasten,dummy,0,15:00,00070B5F96,NA,Nyctalus,noctula,no,NA,NA,NA,no,45,12,33,m,a,55.37,NA,scr,NA,m,6.35 x  9.09,NA,NA,NA,NA,NA,NA,NA,no,0,NA,NA,NA,yes,no,no,no,,,,,,
2012-08-15,summer,Kreuzlingen Seeburgpark,Kr Kasten 37,rundkasten,dummy,0,09:00,00070B5F96,NA,Nyctalus,noctula,no,NA,NA,NA,yes,64,25,39,m,a,55.5,NA,scr,NA,l,10.4 x 7.9,l,no,NA,no,NA,NA,no,no,0,feces,NA,NA,no,no,no,no,,,grosse bucchaldrüsen,,,
2012-08-15,summer,Kreuzlingen Seeburgpark,Kr Kasten 13,rundkasten,dummy,0,09:00,00071A0D95,NA,Nyctalus,noctula,no,NA,NA,NA,no,60,25,35,m,a,52,NA,scr,NA,l,12.9 x 7.9,l,NA,NA,NA,NA,Nycteribiid,no,no,0,fur,NA,NA,yes,no,no,no,,,"grosse bucchaldrüsen, found dead (mummified) on 2013-05-07",,,
2012-08-15,summer,Kreuzlingen Seeburgpark,Kr Kasten 4,rundkasten,dummy,0,15:00,00071A34F8,NA,Nyctalus,noctula,no,NA,NA,NA,no,44,12,32,m,a,54.26,NA,scr,NA,m,7.63 x 4.56,NA,NA,NA,NA,NA,NA,NA,no,0,NA,NA,NA,yes,no,no,no,,,,,,
2012-08-15,summer,Kreuzlingen Seeburgpark,Kr W4,Wintertonne,NA,0,09:00,00071FCF85,NA,Nyctalus,noctula,no,NA,NA,NA,no,58,25,33,m,a,53.4,NA,scr,NA,l,13.3 x 7.9,l,NA,NA,NA,NA,NA,NA,no,0,feces,NA,NA,yes,no,no,no,,,grosse bucchaldrüsen,,,
2012-08-15,summer,Kreuzlingen Seeburgpark,Kr Kasten 2,rundkasten,dummy,0,09:00,2012-08-15-1 P. nat,NA,Pipistrellus,nathusii,no,NA,NA,NA,no,33.5,25.5,8,m,a,34.46,NA,scr,NA,NA,NA,l,NA,NA,NA,NA,NA,NA,no,0,feces,NA,NA,yes,no,no,no,,,grosse bucchaldrüsen,,,
