"","X","event.id","timestamp","location.long","location.lat","gps.hdop","gps.maximum.signal.strength","gps.satellite.count","ground.speed","height.above.msl","tlag","batID","BatDay","utm.x","utm.y","batIDday"
"A563.1646",1646,5995294206,2018-04-20 21:07:03,-6.41084,37.01383,1.4,414,6,4.111111144,30,30,"A563",2,196522.102700074,4101848.25012733,"A563.2"
"A563.1647",1647,5995294207,2018-04-20 21:07:33,-6.41271,37.01264,2.4,291,4,7.194444502,28,30,"A563",2,196350.924320778,4101722.14780042,"A563.2"
"A563.1648",1648,5995294208,2018-04-20 21:08:03,-6.41409,37.01163,1.4,433,6,9.250000074,12,31,"A563",2,196224.071436442,4101614.46010643,"A563.2"
"A563.1649",1649,5995294209,2018-04-20 21:08:34,-6.41647,37.0103,1.4,431,6,11.305555646,18,29,"A563",2,196006.931429676,4101474.45612651,"A563.2"
"A563.1650",1650,5995294210,2018-04-20 21:09:03,-6.41944,37.00948,2,307,4,6.166666716,20,30,"A563",2,195739.30427653,4101392.9499633,"A563.2"
"A563.1651",1651,5995294211,2018-04-20 21:09:33,-6.42128,37.00762,2.4,426,5,10.27777786,96,30,"A563",2,195568.098787222,4101192.40397577,"A563.2"
"A563.1652",1652,5995294212,2018-04-20 21:10:03,-6.4249,37.00669,2.4,435,5,12.333333432,26,29,"A563",2,195242.159772457,4101100.78616914,"A563.2"
"A563.1653",1653,5995294213,2018-04-20 21:10:32,-6.42873,37.00569,1.4,259,4,5.13888893,-28,31,"A563",2,194897.239588664,4101002.08536132,"A563.2"
"A563.1654",1654,5995294214,2018-04-20 21:11:03,-6.4306,37.00543,1.3,449,6,4.111111144,6,31,"A563",2,194729.742787293,4100979.23275816,"A563.2"
"A563.1655",1655,5995294215,2018-04-20 21:11:34,-6.4328,37.00384,1.3,416,6,11.305555646,66,29,"A563",2,194527.540495497,4100809.82907555,"A563.2"
"A563.1656",1656,5995294216,2018-04-20 21:12:03,-6.43658,37.0037,1.3,433,6,7.194444502,8,29,"A563",2,194190.498487986,4100806.44555125,"A563.2"
"A563.1657",1657,5995294217,2018-04-20 21:12:32,-6.43785,37.0033,2.4,323,5,4.111111144,56,30,"A563",2,194075.842712067,4100766.13684152,"A563.2"
"A563.1658",1658,5995294218,2018-04-20 21:13:02,-6.44168,37.00286,1.3,419,6,12.333333432,36,30,"A563",2,193733.140925008,4100729.63560347,"A563.2"
